mix compile
-------------------------------------------------------------------
server5-0034 role=LEADER    term=438 !inf "Become leader"
server2-0082 role=LEADER    term=439 !inf "Become leader"
server4-0035 role=LEADER    term=441 !inf "Become leader"
server2-0083 role=LEADER    term=442 !inf "Become leader"
server3-0028 role=LEADER    term=443 !inf "Become leader"
server2-0084 role=LEADER    term=445 !inf "Become leader"
server5-0035 role=LEADER    term=447 !inf "Become leader"
server2-0085 role=LEADER    term=449 !inf "Become leader"
server5-0036 role=LEADER    term=450 !inf "Become leader"
server3-0029 role=LEADER    term=452 !inf "Become leader"
server4-0036 role=LEADER    term=453 !inf "Become leader"
server3-0030 role=LEADER    term=455 !inf "Become leader"
server2-0086 role=LEADER    term=456 !inf "Become leader"
server4-0037 role=LEADER    term=458 !inf "Become leader"
server2-0087 role=LEADER    term=459 !inf "Become leader"
server2-0088 role=LEADER    term=460 !inf "Become leader"
server3-0031 role=LEADER    term=462 !inf "Become leader"
server1-0017 role=LEADER    term=464 !inf "Become leader"
server2-0089 role=LEADER    term=468 !inf "Become leader"
server3-0032 role=LEADER    term=470 !inf "Become leader"
  time = 7500 client requests seen = [{1, 21}, {2, 352}, {3, 3}, {5, 129}]
  time = 7500      db updates done = [{1, 471}, {2, 471}, {3, 471}, {4, 471}, {5, 471}]

server2-0090 role=LEADER    term=472 !inf "Become leader"
server5-0037 role=LEADER    term=474 !inf "Become leader"
server4-0038 role=LEADER    term=476 !inf "Become leader"
server2-0091 role=LEADER    term=477 !inf "Become leader"
server2-0092 role=LEADER    term=478 !inf "Become leader"
server2-0093 role=LEADER    term=480 !inf "Become leader"
server3-0033 role=LEADER    term=482 !inf "Become leader"
server5-0038 role=LEADER    term=483 !inf "Become leader"
server5-0039 role=LEADER    term=484 !inf "Become leader"
server2-0094 role=LEADER    term=486 !inf "Become leader"
  time = 8000 client requests seen = [{1, 21}, {2, 439}, {3, 3}, {5, 129}]
  time = 8000      db updates done = [{1, 553}, {2, 553}, {3, 553}, {4, 553}, {5, 553}]

server1-0018 role=LEADER    term=488 !inf "Become leader"
server4-0039 role=LEADER    term=490 !inf "Become leader"
server5-0040 role=LEADER    term=495 !inf "Become leader"
server1-0019 role=LEADER    term=497 !inf "Become leader"
server5-0041 role=LEADER    term=498 !inf "Become leader"
  time = 8500 client requests seen = [{1, 22}, {2, 539}, {3, 3}, {5, 129}]
  time = 8500      db updates done = [{1, 654}, {2, 654}, {3, 654}, {4, 654}, {5, 654}]

server2-0095 role=LEADER    term=499 !inf "Become leader"
server4-0040 role=LEADER    term=501 !inf "Become leader"
server3-0034 role=LEADER    term=503 !inf "Become leader"
server2-0096 role=LEADER    term=504 !inf "Become leader"
server3-0035 role=LEADER    term=506 !inf "Become leader"
server2-0097 role=LEADER    term=507 !inf "Become leader"
server1-0020 role=LEADER    term=509 !inf "Become leader"
server2-0098 role=LEADER    term=511 !inf "Become leader"
server1-0021 role=LEADER    term=512 !inf "Become leader"
server4-0041 role=LEADER    term=513 !inf "Become leader"
