mix compile
-------------------------------------------------------------------
  time = 500 client requests seen = []
  time = 500      db updates done = []
server2-0047 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0048 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0048 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0048 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0049 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0049 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0049 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0050 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0050 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0050 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0051 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0051 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0051 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0052 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0052 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0052 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0053 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0053 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0053 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0054 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0054 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0054 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0055 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0055 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0055 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0056 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0056 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0056 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0057 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0057 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0057 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0058 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0058 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0058 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0059 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0059 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0059 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0060 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0060 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0060 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0061 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0061 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0061 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0062 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0062 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0062 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0063 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0063 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0063 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0064 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0064 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0064 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
